epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss,batch_S_loss,batch_M_loss,batch_guardrail_loss
2.150000000000000000e+03,2.516232598281931132e-06,5.731767487304750830e-06,1.352810207754373550e-02,2.109586447477340698e-02,1.417385501554235816e-04,2.364529336773557588e-06,6.516614230349659920e-04,9.621940553188323975e-03,1.592723652720451355e-03,3.242636375944130123e-05,4.183292548987083137e-05
2.200000000000000000e+03,6.302617521214415319e-07,2.717416464292909950e-06,1.311064697802066803e-02,2.026917040348052979e-02,1.078246350516565144e-04,2.270692220918135718e-06,5.842634127475321293e-04,7.100572343915700912e-03,1.095115905627608299e-03,2.265232978970743716e-05,0.000000000000000000e+00
2.250000000000000000e+03,7.590616633024183102e-07,4.644905857276171446e-06,1.255706232041120529e-02,2.024177648127079010e-02,1.297493145102635026e-04,1.508657078375108540e-06,5.369362188503146172e-04,9.385083802044391632e-03,1.244617858901619911e-03,4.302914749132469296e-05,1.795527623471571133e-06
2.300000000000000000e+03,4.405721938383067027e-07,2.726363391047925688e-06,1.268941815942525864e-02,2.035944163799285889e-02,7.319991709664463997e-05,8.291831363749224693e-07,5.211405223235487938e-04,4.020644817501306534e-03,1.118720392696559429e-03,1.314618930337019265e-05,0.000000000000000000e+00
2.350000000000000000e+03,9.044928788171091583e-07,4.227421413816045970e-06,1.259301975369453430e-02,2.027885243296623230e-02,1.044872624333947897e-04,6.886681376272463240e-07,4.286777402739971876e-04,7.526745088398456573e-03,1.121320761740207672e-03,1.708289710222743452e-05,0.000000000000000000e+00
2.400000000000000000e+03,4.380078451049485011e-07,3.165227553836302832e-06,1.255872938781976700e-02,2.023375220596790314e-02,9.475866681896150112e-05,2.143716756108915433e-06,4.909630515612661839e-04,6.263754330575466156e-03,9.395681554451584816e-04,2.730496271396987140e-05,3.350772021804004908e-05
2.450000000000000000e+03,3.035554755115299486e-06,3.853496309602633119e-06,1.312346197664737701e-02,2.128255553543567657e-02,1.040088463923893869e-04,1.712312950985506177e-06,4.769638762809336185e-04,6.380661390721797943e-03,1.840681768953800201e-03,1.532735041109845042e-05,4.256357715348713100e-05
2.500000000000000000e+03,9.175362833957478870e-07,3.982152975368080661e-06,1.231513544917106628e-02,1.994821429252624512e-02,1.124509362853132188e-04,5.452783398141036741e-07,4.818872548639774323e-04,7.487040013074874878e-03,1.120227505452930927e-03,1.280284686799859628e-05,3.214731113985180855e-04
2.550000000000000000e+03,1.289690999328740872e-06,4.813249688595533371e-06,1.192627754062414169e-02,1.965811662375926971e-02,7.246268069138750434e-05,1.756425263010896742e-06,3.585043596103787422e-04,4.173560533672571182e-03,1.426093513146042824e-03,2.026028232648968697e-05,8.347111361217685044e-06
2.600000000000000000e+03,3.430820243011112325e-06,3.756820206035627052e-06,1.262568775564432144e-02,1.988902688026428223e-02,1.239843113580718637e-04,3.534919187586638145e-06,5.611132364720106125e-04,8.482879027724266052e-03,9.178334148600697517e-04,2.949107511085458100e-05,1.851414563134312630e-04
2.650000000000000000e+03,3.819855464826105163e-06,1.007361788651905954e-05,1.228310167789459229e-02,1.885003596544265747e-02,1.540598750580102205e-04,6.948480859136907384e-06,6.758306990377604961e-04,1.052116416394710541e-02,1.383690163493156433e-03,1.013331202557310462e-04,8.143765057866403367e-07
2.700000000000000000e+03,9.402824048265756574e-07,3.806752829405013472e-06,1.186151523143053055e-02,1.898828893899917603e-02,1.006739767035469413e-04,6.048202294550719671e-07,4.507475532591342926e-04,7.265547290444374084e-03,9.250811999663710594e-04,1.314111341343959793e-05,7.832140624941530405e-08
2.750000000000000000e+03,5.962864406683365814e-07,2.273510062877903692e-06,1.192905381321907043e-02,1.845673844218254089e-02,8.944651926867663860e-05,4.471053784982359502e-07,3.900737501680850983e-04,6.459359079599380493e-03,8.666461217217147350e-04,8.652390533825382590e-06,2.494680302334018052e-06
2.800000000000000000e+03,4.791390324498934206e-07,2.137043111360981129e-06,1.160630118101835251e-02,1.863643899559974670e-02,9.016933472594246268e-05,3.465750921805010876e-07,4.215351073071360588e-04,6.149671040475368500e-03,9.685660479590296745e-04,1.407803210895508528e-05,8.191007509594783187e-05
2.850000000000000000e+03,9.755701739777578041e-07,3.297009925518068485e-06,1.163457054644823074e-02,1.898849010467529297e-02,7.394370913971215487e-05,4.112657734367530793e-07,4.094654577784240246e-04,4.533303901553153992e-03,1.090834848582744598e-03,2.002928886213339865e-05,3.560740151442587376e-05
2.900000000000000000e+03,4.507367066253209487e-07,3.593685960368020460e-06,1.181674469262361526e-02,1.914037764072418213e-02,9.693199535831809044e-05,6.885363177389081102e-07,4.581193788908421993e-04,6.997869815677404404e-03,7.290616631507873535e-04,1.573706322233192623e-05,2.460001633153297007e-05
2.950000000000000000e+03,5.343857196749013383e-07,2.679265662663965486e-06,1.128220185637474060e-02,1.902060396969318390e-02,7.785918569425120950e-05,5.547238970393664204e-07,3.636723558884114027e-04,5.264063365757465363e-03,9.830411290749907494e-04,1.329997394350357354e-05,7.676402674405835569e-06
3.000000000000000000e+03,4.492570951697416604e-06,4.933483069180510938e-06,1.293317507952451706e-02,2.021825499832630157e-02,1.074475658242590725e-04,1.316666157435975038e-06,4.922616644762456417e-04,6.843317300081253052e-03,8.531089406460523605e-04,2.989566200994886458e-05,4.588608571793884039e-04
3.050000000000000000e+03,4.154073849349515513e-06,5.928988684900105000e-06,1.267569512128829956e-02,1.959137246012687683e-02,1.054390158969908953e-04,3.534998086252016947e-06,5.105684394948184490e-04,4.801767412573099136e-03,3.319630166515707970e-03,2.648542795213870704e-05,1.226507038154522888e-07
3.100000000000000000e+03,2.000408130697906017e-06,2.652874400155269541e-06,1.182208303362131119e-02,1.964282244443893433e-02,7.538856152677908540e-05,1.192063791677355766e-06,4.368555964902043343e-04,4.489549435675144196e-03,1.144813373684883118e-03,1.249737033504061401e-05,1.268388859898550436e-05
3.150000000000000000e+03,2.184995537390932441e-06,3.833703431155299768e-06,1.133750844746828079e-02,1.886980794370174408e-02,9.990338730858638883e-05,3.239315901737427339e-06,4.731345397885888815e-04,6.697002798318862915e-03,1.043768133968114853e-03,2.339439379284158349e-05,4.851946414419217035e-06
3.200000000000000000e+03,1.917867621159530245e-06,3.220796315872576088e-06,1.187545061111450195e-02,1.883867196738719940e-02,5.852010508533567190e-05,1.015275302052032202e-06,3.333302156534045935e-04,3.619597759097814560e-03,7.854885770939290524e-04,1.120348861149977893e-05,4.360091168109647697e-07
3.250000000000000000e+03,8.328546527991420589e-07,3.652911800600122660e-06,1.072764676064252853e-02,1.768399402499198914e-02,1.081402078852988780e-04,1.342815266980323941e-06,4.222898278385400772e-04,7.798891514539718628e-03,1.174984849058091640e-03,1.670346318860538304e-05,0.000000000000000000e+00
3.300000000000000000e+03,1.388817167935485486e-06,3.805826736424933188e-06,1.128645427525043488e-02,1.916375197470188141e-02,7.589825690956786275e-05,1.023875483951997012e-06,3.615801688283681870e-04,4.258173517882823944e-03,1.743167638778686523e-03,3.977609594585373998e-05,6.314179214206294688e-12
3.350000000000000000e+03,8.960622608356061392e-07,2.253796765216975473e-06,1.072488259524106979e-02,1.782633550465106964e-02,8.034474012674763799e-05,1.738873834256082773e-06,3.537882003001868725e-04,5.227237008512020111e-03,1.206423155963420868e-03,1.177404101326828822e-05,0.000000000000000000e+00
3.400000000000000000e+03,1.873659584816778079e-06,4.144443209952441975e-06,1.106001622974872589e-02,1.742196269333362579e-02,1.240906276507303119e-04,5.418966793513391167e-06,4.753393295686691999e-04,8.935730904340744019e-03,9.642394143156707287e-04,6.113054405432194471e-05,2.353660420340020210e-06
3.450000000000000000e+03,1.557988525746623054e-06,4.399883891892386600e-06,1.083173416554927826e-02,1.752752065658569336e-02,8.979380072560161352e-05,1.461966689930704888e-06,3.221299266442656517e-04,6.343803368508815765e-03,1.185262110084295273e-03,8.432100912614259869e-06,3.583057605283102021e-06
3.500000000000000000e+03,3.605929805416963063e-06,5.714679446100490168e-06,1.204276829957962036e-02,1.789274439215660095e-02,1.043982047121971846e-04,9.064574442163575441e-07,3.737079387065023184e-04,7.902066223323345184e-03,9.412629297003149986e-04,1.101377711165696383e-05,0.000000000000000000e+00
3.550000000000000000e+03,2.218504732809378766e-06,4.711834208137588575e-06,1.132811419665813446e-02,1.676985993981361389e-02,7.432702841470018029e-05,3.840003500954480842e-06,4.054211021866649389e-04,4.624268971383571625e-03,7.598309312015771866e-04,3.876394475810229778e-05,2.077101498798583634e-06
3.600000000000000000e+03,6.615611596316739451e-07,2.132322379111428745e-06,1.037918310612440109e-02,1.689742878079414368e-02,9.375027730129659176e-05,1.184824895972269587e-06,3.489215159788727760e-04,6.166322156786918640e-03,1.631670515052974224e-03,1.733461249386891723e-05,2.276558188896160573e-05
