epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss
1.750000000000000000e+03,2.535389512559049763e-06,5.458843588712625206e-06,1.315060909837484360e-02,1.913265883922576904e-02,6.211738946149125695e-05,2.088465180349885486e-06,3.832362126559019089e-04,5.874005611985921860e-03
1.800000000000000000e+03,1.918051793836639263e-06,4.372257080831332132e-06,1.262951083481311798e-02,1.886703446507453918e-02,5.320807758835144341e-05,1.489022793066396844e-06,3.679574001580476761e-04,4.456493072211742401e-03
1.850000000000000000e+03,2.245640871478826739e-06,4.625812380254501477e-06,1.255325600504875183e-02,1.810276508331298828e-02,5.675949432770721614e-05,1.778588512024725787e-06,3.764978318940848112e-04,4.972216207534074783e-03
1.900000000000000000e+03,1.914393351398757659e-06,3.770730472751893103e-06,1.260894630104303360e-02,1.877638511359691620e-02,5.480704567162320018e-05,1.772833684299257584e-06,3.551483387127518654e-04,4.924468696117401123e-03
1.950000000000000000e+03,1.667195078880467918e-06,4.195210294710705057e-06,1.250718627125024796e-02,1.819216646254062653e-02,5.210040035308338702e-05,1.407213630955084227e-06,3.219308273401111364e-04,4.987744148820638657e-03
2.000000000000000000e+03,2.222983312094584107e-06,4.972157967131352052e-06,1.271201390773057938e-02,1.838697493076324463e-02,5.726964445784687996e-05,1.391650584992021322e-06,3.777233068831264973e-04,5.132026504725217819e-03
2.050000000000000000e+03,1.744943688208877575e-06,3.900069259543670341e-06,1.222207769751548767e-02,1.780620962381362915e-02,8.234805136453360319e-05,6.555499567184597254e-06,6.163105717860162258e-04,5.297541618347167969e-03
2.100000000000000000e+03,1.322298430750379339e-06,3.416540948819601908e-06,1.221953984349966049e-02,1.778155378997325897e-02,4.878441905020736158e-05,1.176116256829118356e-06,3.134132421109825373e-04,4.507048986852169037e-03
2.150000000000000000e+03,1.850833882599545177e-06,3.195490307916770689e-06,1.243149302899837494e-02,1.812379620969295502e-02,5.400564259616658092e-05,1.083310280591831543e-06,3.370327176526188850e-04,5.191943608224391937e-03
2.200000000000000000e+03,1.417514909007877577e-06,2.642340177771984600e-06,1.232895441353321075e-02,1.751522347331047058e-02,4.993935363017953932e-05,1.016500277728482615e-06,3.183603985235095024e-04,4.690804518759250641e-03
2.250000000000000000e+03,1.235815830114006530e-06,2.801532218654756434e-06,1.196386478841304779e-02,1.788353547453880310e-02,5.019137097406201065e-05,1.106016270568943582e-06,3.461737069301307201e-04,4.278291948139667511e-03
2.300000000000000000e+03,1.453117988603480626e-06,4.118326160096330568e-06,1.207362953573465347e-02,1.843603886663913727e-02,5.291013076202943921e-05,1.092050638362707105e-06,3.507622168399393559e-04,4.751420579850673676e-03
2.350000000000000000e+03,1.623135631234617904e-06,3.080332362515036948e-06,1.187349390238523483e-02,1.770928874611854553e-02,5.212298856349661946e-05,9.596212748874677345e-07,3.345600562170147896e-04,4.879713058471679688e-03
2.400000000000000000e+03,1.449165552003250923e-06,2.205697001045336947e-06,1.227106805890798569e-02,1.760141365230083466e-02,5.094255902804434299e-05,1.164895820693345740e-06,2.829638833645731211e-04,5.428110715001821518e-03
2.450000000000000000e+03,1.196875359710247722e-06,2.111584080921602435e-06,1.208404824137687683e-02,1.713456586003303528e-02,4.997228825232014060e-05,9.520193771095364355e-07,3.244067484047263861e-04,4.613546188920736313e-03
2.500000000000000000e+03,1.297955691370589193e-06,3.294008365628542379e-06,1.192253921180963516e-02,1.748178154230117798e-02,6.216641486389562488e-05,7.514478852499451023e-07,3.854758106172084808e-04,6.115380208939313889e-03
2.550000000000000000e+03,1.010154392133699730e-06,2.239941977677517571e-06,1.179525535553693771e-02,1.781834289431571960e-02,4.888353578280657530e-05,6.944828783161938190e-07,3.209270071238279343e-04,4.502978641539812088e-03
2.600000000000000000e+03,1.922564024425810203e-06,2.031389840340125374e-06,1.177466567605733871e-02,1.737255230545997620e-02,5.137629341334104538e-05,7.938232329252059571e-07,3.245790721848607063e-04,4.923229105770587921e-03
