epoch,train_F_mse,holdout_F_mse,train_chi_mae,holdout_chi_mae,total_batch_loss,batch_F_loss,batch_chi_loss,batch_Cv_loss,batch_guardrail_loss
1.050000000000000000e+03,2.597295178929925896e-06,6.214741006260737777e-06,1.421837788075208664e-02,1.887072995305061340e-02,5.172686724108643830e-05,2.122664909620652907e-06,5.141515284776687622e-04,7.251556497067213058e-03,1.595875119164702483e-06
1.100000000000000000e+03,2.094487626891350374e-06,5.538097411772469059e-06,1.403446774929761887e-02,1.907367818057537079e-02,5.357026020647026598e-05,1.720507270874804817e-06,5.817189812660217285e-04,7.117704953998327255e-03,5.508623416972113773e-06
1.150000000000000000e+03,2.099049879689118825e-06,5.734066689910832793e-06,1.403468940407037735e-02,1.903092861175537109e-02,4.496518522500991821e-05,1.579244553795433603e-06,4.948070854879915714e-04,5.898414179682731628e-03,0.000000000000000000e+00
1.200000000000000000e+03,2.029982397289131768e-06,5.617204806185327470e-06,1.395608298480510712e-02,1.907319761812686920e-02,4.963701576343737543e-05,1.926823870235239156e-06,4.871875862590968609e-04,6.991164293140172958e-03,1.290149521082639694e-05
1.250000000000000000e+03,2.008162482525222003e-06,5.243749910732731223e-06,1.395798474550247192e-02,1.893426664173603058e-02,5.209407754591666162e-05,1.564898866490693763e-06,5.504332366399466991e-04,7.121879141777753830e-03,1.216555347127723508e-06
1.300000000000000000e+03,2.177040641981875524e-06,5.247329227131558582e-06,1.381802279502153397e-02,1.910378970205783844e-02,4.443238503881730139e-05,1.844803932726790663e-06,4.906721878796815872e-04,5.740173161029815674e-03,0.000000000000000000e+00
1.350000000000000000e+03,2.096994876410462894e-06,5.468652034323895350e-06,1.390902232378721237e-02,1.901168748736381531e-02,4.665117012336850166e-05,1.709482035039400216e-06,4.951683804392814636e-04,6.243820767849683762e-03,7.983317118487320840e-06
1.400000000000000000e+03,2.787162884487770498e-06,6.107675744715379551e-06,1.382949948310852051e-02,1.914452388882637024e-02,4.487668775254860520e-05,1.464227352698799223e-06,5.140882567502558231e-04,5.630137398838996887e-03,1.641890776227228343e-05
1.450000000000000000e+03,1.857842903518758249e-06,5.161449735169298947e-06,1.359619665890932083e-02,1.901751011610031128e-02,4.031989010400138795e-05,1.523237187939230353e-06,4.355002893134951591e-04,5.278983619064092636e-03,1.303524186369031668e-05
1.500000000000000000e+03,1.857903384916426148e-06,4.831341811950551346e-06,1.362620200961828232e-02,1.916052773594856262e-02,4.551048550638370216e-05,1.727263224893249571e-06,4.634372598957270384e-04,6.311432924121618271e-03,0.000000000000000000e+00
1.550000000000000000e+03,1.874864778983464930e-06,4.673059720516903326e-06,1.351078320294618607e-02,1.873992383480072021e-02,4.933868331136181951e-05,1.602825022928300314e-06,5.518746911548078060e-04,6.415217649191617966e-03,0.000000000000000000e+00
1.600000000000000000e+03,1.759441829563002102e-06,4.346815785538638011e-06,1.342318952083587646e-02,1.898324489593505859e-02,4.529392754193395376e-05,1.819865133256826084e-06,5.112813669256865978e-04,5.755701567977666855e-03,0.000000000000000000e+00
1.650000000000000000e+03,1.680481318544480018e-06,4.703398190031293780e-06,1.330865081399679184e-02,1.888365671038627625e-02,4.205653749522753060e-05,1.444364215785753913e-06,4.202253185212612152e-04,5.929026287049055099e-03,4.352733412815723568e-06
1.700000000000000000e+03,1.802704218789585866e-06,4.258314220351167023e-06,1.327292714267969131e-02,1.886464841663837433e-02,4.157270450377836823e-05,1.278465219911595341e-06,4.649710026569664478e-04,5.394499748945236206e-03,5.870072527613956481e-06
1.750000000000000000e+03,2.296321781614096835e-06,4.906532467430224642e-06,1.329384837299585342e-02,1.869456097483634949e-02,4.310654912842437625e-05,1.364747276966227219e-06,4.178435774520039558e-04,6.256666965782642365e-03,6.956220488518738421e-08
